regime,start_date,end_date,weeks,geometric_strategy_return,arithmetic_strategy_return,arithmetic_style_return,arithmetic_residual_return,factor,total_contribution,contribution_pct_of_strategy_arithmetic,contribution_pct_of_style_arithmetic,avg_abs_exposure,avg_weekly_factor_return
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,LP,0.03312228399017392,0.017659563875955277,0.04637555971323118,0.5291140632752219,0.00025697810075978527
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,SP,0.02183611598296905,0.011642200915806623,0.03057343814133228,0.4814010509931804,0.0002485649081118012
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,SGRO,0.01235139368375317,0.006585301478002464,0.017293577806785598,0.40161180997793827,-0.0002090521293758671
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,AGRO,0.003410737559086382,0.0018184777899577895,0.004775481768844659,0.35882436574201254,-9.675791889253939e-05
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,EGRO,-0.003910808214489371,-0.002085096773244079,-0.005475646544539349,0.288645596973166,0.000354020068331476
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,BLEV,-0.005823727705213846,-0.0031049939502029596,-0.008153985758556543,0.2384489174381268,0.00040518910901460244
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,ROE,-0.006411974299266262,-0.0034186250483954493,-0.0089776084609244,0.40820084954226826,-0.0005805959852092227
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,MLEV,-0.021611993780238245,-0.011522707333893052,-0.030259637541141585,0.2420615392379007,7.574274072985704e-05
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,MIDCAP,-0.04018765236238388,-0.021426554223396614,-0.05626800592674115,0.35229687477101623,0.000678845806478901
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,RESVOL,-0.04266305733248879,-0.02274634763502829,-0.05973389888990715,0.3560427721044509,-0.0032096881192301397
