scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
baseline,300000000,0.2,2025,51,0.5848883127343179,0.10424861684386355,0.9176064220557747,6.565876492808881
baseline,500000000,0.05,2020,46,0.10937101896106549,0.07090090834785563,0.7583671802481031,15.34206384290369
baseline,500000000,0.05,2021,52,0.3164555241569993,0.07712439004876856,0.7266229249014242,19.629587511650556
baseline,500000000,0.05,2022,50,0.0031033345261570755,0.07512711492256635,0.7115416998700141,20.82209974556427
baseline,500000000,0.05,2023,50,-0.011329174380810825,0.07203437648335445,0.6784803507408625,22.760992943361845
baseline,500000000,0.05,2024,52,-0.045672586913274915,0.08213205728940288,0.7161142736438875,20.846487896352194
baseline,500000000,0.05,2025,51,0.44262779348012793,0.08542478220985777,0.7764840879510807,17.401864751508256
baseline,500000000,0.1,2020,46,0.1181102659392459,0.0904367571818006,0.8833271988763743,7.697729932833788
baseline,500000000,0.1,2021,52,0.41655877256250906,0.10047864925654038,0.8465127068441762,11.578222189569471
baseline,500000000,0.1,2022,50,0.016201443840607288,0.10472609648165854,0.8583047131141224,10.906392049157054
baseline,500000000,0.1,2023,50,0.00526282373507958,0.10232456381516146,0.8393547139333983,12.067323296833177
baseline,500000000,0.1,2024,52,-0.01766864062523399,0.1066213272165516,0.8421607923535345,12.167538752845203
baseline,500000000,0.1,2025,51,0.5417272639506439,0.10541919518365286,0.8815731159553666,9.430703355403942
baseline,500000000,0.2,2020,46,0.12457518654815702,0.10416480271426293,0.9559932859165944,3.0188211542158028
baseline,500000000,0.2,2021,52,0.47513002951502026,0.1195113680138055,0.9253448755168125,5.789064071691422
baseline,500000000,0.2,2022,50,0.014565678665505732,0.12728455768211708,0.9430384500971911,4.488135709642919
baseline,500000000,0.2,2023,50,0.02380717824228018,0.1283876689474035,0.9474456960101406,4.0979563524388185
baseline,500000000,0.2,2024,52,0.028363117978762675,0.12468501516617986,0.9189412450260627,6.5736653790673785
baseline,500000000,0.2,2025,51,0.5682510267767158,0.11268085565078985,0.9133887500618331,6.910179966633903
tc50_buf2,10000000,0.05,2020,46,0.1592154768285663,0.04966843603354716,0.9716395911611966,1.3269842051060186
tc50_buf2,10000000,0.05,2021,52,0.49085885629568327,0.05587895751016727,0.945993774719775,2.8968777328854194
tc50_buf2,10000000,0.05,2022,50,0.20390783864901363,0.0536540176853669,0.9423694380704467,2.9775050991616667
tc50_buf2,10000000,0.05,2023,50,0.09722582704975924,0.055282442550215506,0.9750547555919475,1.2722545797964167
tc50_buf2,10000000,0.05,2024,52,0.06228910126232745,0.05478173067613275,0.9429961103485441,2.9520382853745444
tc50_buf2,10000000,0.05,2025,51,0.6718905308555263,0.05260051248379574,0.9171709367981797,4.379933441605346
tc50_buf2,10000000,0.1,2020,46,0.16095396043125154,0.04969273357064129,0.9717964983143178,1.3197448524367532
tc50_buf2,10000000,0.1,2021,52,0.49086519076517354,0.05587966721663725,0.9460122999170884,2.895866369622312
tc50_buf2,10000000,0.1,2022,50,0.20390779665349634,0.0536546305862622,0.9423836554262367,2.9767575636962356
tc50_buf2,10000000,0.1,2023,50,0.09722672579535252,0.05528281162390046,0.9750651334430194,1.2717207703282194
tc50_buf2,10000000,0.1,2024,52,0.06229035923484094,0.05478211405792276,0.9430059098869198,2.9515150649790995
tc50_buf2,10000000,0.1,2025,51,0.671894472210999,0.05260079728117357,0.9171780102035542,4.379547641284625
tc50_buf2,10000000,0.2,2020,46,0.16095396043125154,0.04969273357064129,0.9717964983143178,1.3197448524367532
tc50_buf2,10000000,0.2,2021,52,0.49086519076517354,0.05587966721663725,0.9460122999170884,2.895866369622312
tc50_buf2,10000000,0.2,2022,50,0.20390779665349634,0.0536546305862622,0.9423836554262367,2.9767575636962356
tc50_buf2,10000000,0.2,2023,50,0.09722672579535252,0.05528281162390046,0.9750651334430194,1.2717207703282194
tc50_buf2,10000000,0.2,2024,52,0.06229035923484094,0.05478211405792276,0.9430059098869198,2.9515150649790995
tc50_buf2,10000000,0.2,2025,51,0.671894472210999,0.05260079728117357,0.9171780102035542,4.379547641284625
tc50_buf2,30000000,0.05,2020,46,0.15296447264420165,0.05272082133110879,0.9711096175077482,1.351300538494165
tc50_buf2,30000000,0.05,2021,52,0.4848478446860902,0.05961809191984901,0.9448301160226932,2.9602261312367792
tc50_buf2,30000000,0.05,2022,50,0.19952932382313482,0.05738273147838244,0.94238196579664,2.976824306422741
tc50_buf2,30000000,0.05,2023,50,0.09265715451954981,0.05943134982226433,0.9750463746368938,1.2726972752947379
tc50_buf2,30000000,0.05,2024,52,0.05829535451990209,0.058416854395371184,0.9415018869298314,3.033772989069106
tc50_buf2,30000000,0.05,2025,51,0.667018569722386,0.05552187992357664,0.9171875976691097,4.379024721564034
tc50_buf2,30000000,0.1,2020,46,0.15412377379333697,0.05277845895184032,0.9714969667807357,1.3335390217264533
tc50_buf2,30000000,0.1,2021,52,0.4851331989891061,0.05971808289747979,0.9459770543781707,2.8977904986639995
tc50_buf2,30000000,0.1,2022,50,0.19942072604486816,0.05738341617496687,0.9423566295859583,2.978178563153772
tc50_buf2,30000000,0.1,2023,50,0.0926770709680167,0.05943088557310817,0.9750454058755205,1.2727355085775465
tc50_buf2,30000000,0.1,2024,52,0.058359084143287054,0.058520432093939784,0.9428810224928668,2.958346860542944
tc50_buf2,30000000,0.1,2025,51,0.667006247457995,0.0555208930279072,0.9171651668217728,4.3802481513981935
tc50_buf2,30000000,0.2,2020,46,0.15714234056895005,0.0528232342537338,0.9717431442902915,1.3222083720827968
tc50_buf2,30000000,0.2,2021,52,0.4851443054452329,0.05971950284911873,0.9460104365834224,2.8959681345861776
tc50_buf2,30000000,0.2,2022,50,0.19942050657411303,0.0573846390725951,0.9423822132165239,2.9768333934514835
tc50_buf2,30000000,0.2,2023,50,0.09267859675022327,0.05943162716520464,0.9750640808329243,1.271774913666198
tc50_buf2,30000000,0.2,2024,52,0.058312999390299325,0.05852892108482817,0.9430049160202144,2.951568129673184
tc50_buf2,30000000,0.2,2025,51,0.6670129088254075,0.05552142653951487,0.9171772928232406,4.3795867688125645
tc50_buf2,100000000,0.05,2020,46,0.1500118160188446,0.05761817481350748,0.9561130692615352,2.065284963457403
tc50_buf2,100000000,0.05,2021,52,0.4703194072080512,0.06348395591532864,0.9069130369382139,5.09204746868206
tc50_buf2,100000000,0.05,2022,50,0.18736579792938457,0.06336678453725603,0.9282600709553381,3.7298808220397595
tc50_buf2,100000000,0.05,2023,50,0.08156883709564133,0.06542789223262743,0.9516933427304294,2.482288722279205
tc50_buf2,100000000,0.05,2024,52,0.05295087852085678,0.06345749995034261,0.9182751460044815,4.342763046990546
tc50_buf2,100000000,0.05,2025,51,0.6563563348204806,0.061079841710993184,0.9155036140850977,4.472616408685707
tc50_buf2,100000000,0.1,2020,46,0.1455135827000933,0.05873733373172982,0.9703092063781622,1.3888850199454152
tc50_buf2,100000000,0.1,2021,52,0.47369460687618625,0.06649921184873869,0.9390163400892568,3.2814973325190406
tc50_buf2,100000000,0.1,2022,50,0.19103591934570585,0.06455179671394153,0.9415330524365153,3.0206512604108955
tc50_buf2,100000000,0.1,2023,50,0.0839085547845444,0.06741387233914256,0.9738800808223671,1.3330160388208443
tc50_buf2,100000000,0.1,2024,52,0.05084413300666224,0.06534814542554034,0.9379636724916709,3.229212040799381
tc50_buf2,100000000,0.1,2025,51,0.6576985756251092,0.061231502861879866,0.9172980845979072,4.373104407469367
tc50_buf2,100000000,0.2,2020,46,0.1461580466316954,0.05883345735264196,0.9711971952521542,1.3472979319599112
tc50_buf2,100000000,0.2,2021,52,0.47392169939755324,0.06715511771071667,0.9454705434599178,2.925218252498019
tc50_buf2,100000000,0.2,2022,50,0.19070967002222727,0.06467062311785565,0.9423593632939478,2.9780331226872025
tc50_buf2,100000000,0.2,2023,50,0.0838447523886856,0.06753626768409081,0.9750410827528843,1.2729558544971757
tc50_buf2,100000000,0.2,2024,52,0.05063249406241388,0.06577158038429627,0.9422853590396003,2.990938467288604
tc50_buf2,100000000,0.2,2025,51,0.6575065918041991,0.06122662514317513,0.9171584252693827,4.380615855318972
tc50_buf2,300000000,0.05,2020,46,0.14232700196787795,0.05577973109046508,0.8281016098661453,8.41098006174821
tc50_buf2,300000000,0.05,2021,52,0.39250915759792737,0.0598177855409593,0.7776028445586178,12.555395116247613
tc50_buf2,300000000,0.05,2022,50,0.14611361128043954,0.058964195248841035,0.7869272207366292,11.284319836228878
tc50_buf2,300000000,0.05,2023,50,0.05004909526718393,0.058886969328270485,0.763671877716029,12.770141224067135
tc50_buf2,300000000,0.05,2024,52,0.023852254800028616,0.06078276680294228,0.7881330279366447,12.016960940069787
tc50_buf2,300000000,0.05,2025,51,0.6142429825086531,0.06363164021706243,0.8475693135179038,8.279183395735014
tc50_buf2,300000000,0.1,2020,46,0.14000618157282574,0.06428288766844463,0.9276174907089074,3.4393694260025804
tc50_buf2,300000000,0.1,2021,52,0.4394007564761395,0.06980658380324342,0.870616084071963,7.17665278338495
tc50_buf2,300000000,0.1,2022,50,0.1665800002667177,0.0708188066706533,0.8972793049499316,5.3789657647326825
tc50_buf2,300000000,0.1,2023,50,0.06494934018010223,0.07249217358907661,0.906093785174561,4.885118105769209
tc50_buf2,300000000,0.1,2024,52,0.0386942930649139,0.07058800248729416,0.887517470203518,6.114873375635291
tc50_buf2,300000000,0.1,2025,51,0.6390074055279427,0.06934426524898263,0.9068492387790593,4.951427973078388
tc50_buf2,300000000,0.2,2020,46,0.13697398596738086,0.06795482188325858,0.9650636230493249,1.638151821763781
tc50_buf2,300000000,0.2,2021,52,0.4555242026361095,0.0762658647839566,0.9242104727324055,4.111501057774369
tc50_buf2,300000000,0.2,2022,50,0.1772002545957756,0.07572647851199292,0.9376807644444607,3.2282377770901385
tc50_buf2,300000000,0.2,2023,50,0.06939060528255081,0.07956548851235148,0.9668207081950804,1.699471800696187
tc50_buf2,300000000,0.2,2024,52,0.04001548409808997,0.0758039936982125,0.9297322420806291,3.691972376427732
tc50_buf2,300000000,0.2,2025,51,0.6423261800606024,0.07041084298467469,0.9169878376033562,4.390250185390124
tc50_buf2,500000000,0.05,2020,46,0.1253112973164865,0.05096472390665718,0.7232641122274148,13.81195890415071
