scenario,description,max_turnover,buffer_multiplier,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav_5bp,net_annual_return_5bp,net_sharpe_ratio_5bp,net_max_drawdown_5bp,net_final_nav_10bp,net_annual_return_10bp,net_sharpe_ratio_10bp,net_max_drawdown_10bp,net_final_nav_20bp,net_annual_return_20bp,net_sharpe_ratio_20bp,net_max_drawdown_20bp,net_final_nav_50bp,net_annual_return_50bp,net_sharpe_ratio_50bp,net_max_drawdown_50bp,net_final_nav_100bp,net_annual_return_100bp,net_sharpe_ratio_100bp,net_max_drawdown_100bp,turnover_reduction_vs_baseline,gross_annual_return_diff_vs_baseline,net_annual_return_5bp_diff_vs_baseline,net_annual_return_10bp_diff_vs_baseline,net_annual_return_20bp_diff_vs_baseline,net_annual_return_50bp_diff_vs_baseline,net_annual_return_100bp_diff_vs_baseline
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,5.638846759814666,0.3443476567612187,1.0489939951976794,-0.33630588611621726,5.310529673393005,0.3306217306411321,1.0033564709949356,-0.34133234459256945,4.709960880069651,0.3035808482669995,0.9134077969147203,-0.353715856783384,3.2849627730581434,0.22565044307587057,0.6538702820230555,-0.4056862908649901,1.8001164795004347,0.10579885119348886,0.2537410316025656,-0.4835461160361696,0.31581395348837216,-0.1721237467642338,-0.15809636165735275,-0.14442829976440397,-0.11814087738187218,-0.04716530427731924,0.04790864161822528
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,5.321589760958971,0.3310954194441469,0.9979906128421755,-0.34614206091829924,5.011744695137972,0.3175048000130898,0.9531026554139478,-0.3510940255530236,4.444965550849584,0.2907304797805892,0.8646310863737913,-0.3624098633689462,3.1001417493409935,0.21356829270522404,0.6093536832526001,-0.4137209015127261,1.6988369845606326,0.0948981673359619,0.21578597483170048,-0.4905281287533253,0.31581395348837216,-0.18551265904402592,-0.17134859897442456,-0.15754523039244628,-0.13099124586828248,-0.05924745464796577,0.03700795776069832
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,4.923599968849262,0.3135114228658884,0.932560743098349,-0.34822232360057315,4.6369275222776825,0.30010033782589085,0.888595560475535,-0.35315853345644066,4.11253652212289,0.2736797109112963,0.801942426496904,-0.3629867029752073,2.8682890839246085,0.19753684943324346,0.5519095965077225,-0.41367488627433513,1.5717847673315177,0.08043437657630514,0.1664198296506526,-0.49018607929703617,0.31581395348837216,-0.20327800553470388,-0.18893259555268305,-0.1749496925796452,-0.1480420147375754,-0.07527889791994635,0.02254416700104156
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,3.934068677989584,0.2640490967910081,0.7724297523209073,-0.35362628834546384,3.760921661104537,0.25435303167860734,0.7405221998927273,-0.35730096253761723,3.4370843217166502,0.23517917395993426,0.6774037633689909,-0.36854191812628434,2.6230551201282246,0.17936554324142095,0.49350204794050406,-0.4049954090822875,1.670837247506846,0.09178963873608215,0.20440586311098688,-0.4611992425535366,0.41528239202657813,-0.2565174911044936,-0.23839492162756337,-0.22069699872692872,-0.1865425516889374,-0.09345020411176885,0.03389942916081856
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,3.7752042584329764,0.255166690821822,0.7485495423945243,-0.3497511662947693,3.6090492141307315,0.245538759444772,0.7166312071717781,-0.35353552479394357,3.2982889801936186,0.2264996354074773,0.6534914477708024,-0.3662152833483281,2.517131669565306,0.17107820411216235,0.4695276621760535,-0.40280308877788384,1.60336598271073,0.08411769084353238,0.18033407712156993,-0.4602338543398624,0.41528239202657813,-0.26546854713871904,-0.24727732759674947,-0.22951127096076407,-0.19522209024139436,-0.10173754324102746,0.026227481268268793
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,3.753828887433525,0.2539480142960264,0.7407422509617756,-0.3565354166770287,3.588614620231594,0.2443294309474462,0.7090155449588105,-0.36086715472845654,3.279613924279068,0.22530879252939684,0.6462548078313153,-0.3734031106441118,2.502879560379089,0.1699411714553376,0.46339492866648535,-0.4095759694527559,1.5942876546568772,0.08306509058677602,0.17593535183813125,-0.4667292762579561,0.41528239202657813,-0.26669664253402514,-0.24849600412254502,-0.23072059945808987,-0.19641293311947483,-0.1028745758978522,0.02517488101151244
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,3.710730160652383,0.2514732259196393,0.7340909062388606,-0.36633267676470527,3.547412763226898,0.24187362578088756,0.7023595700040365,-0.36993511435942605,3.2419597880068234,0.22289052644287288,0.6395896759510338,-0.3770802646536503,2.4741433218414244,0.16763217875455205,0.4567031360909638,-0.3980455820769101,1.5759832060261425,0.08092755628192738,0.16920170770405757,-0.45476342824276184,0.41528239202657813,-0.26919055797841396,-0.25097079249893217,-0.2331764046246485,-0.1988311992059988,-0.10518356859863776,0.023037346706663797
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.7559064760254013,0.18937621807998584,0.5367249919822649,-0.35664045707776526,2.6744450936338455,0.18328668715136298,0.5162599081571646,-0.35869622499882536,2.518652185946168,0.17119919556958352,0.4756280769138757,-0.3627886870593827,2.103489890336961,0.13565854054756832,0.35608493404164415,-0.3749148490161124,1.5576014668223739,0.07876018502313942,0.16446367471846768,-0.41109393953289386,0.5149501661129569,-0.334839657748772,-0.3130678003385856,-0.2917633432541731,-0.25052253007928815,-0.1371572068056215,0.020869975447875833
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.7037398759534046,0.1854940611372906,0.5290986523937206,-0.34522034590000583,2.623820477440301,0.17942440660640746,0.5084870288760062,-0.347443149239001,2.470976576324535,0.16737636893218877,0.4675642855755835,-0.35186680545373594,2.063672894796914,0.13195171959327445,0.3471654951415982,-0.3742142788378886,1.5281176024394112,0.07523908187837458,0.1541734889069615,-0.413653822273237,0.5149501661129569,-0.3387417913757207,-0.31694995728128084,-0.2956256237991286,-0.2543453567166829,-0.14086402775991536,0.017348872303110996
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.695926421106052,0.18490726032562055,0.5169098185853612,-0.371487814898412,2.616237979208723,0.178840610177738,0.4967069614833192,-0.3736214471438474,2.4638357769896237,0.16679853609162887,0.4565957110511884,-0.37786764174725607,2.0577091498647095,0.1313914213938958,0.3385837756749728,-0.390439275426433,1.5237015423020013,0.07470685553775391,0.1494156539512756,-0.416827506755417,0.5149501661129569,-0.33933161172902926,-0.3175367580929509,-0.29620942022779806,-0.2549231895572428,-0.141424325959294,0.01681664596249033
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.6788577937558014,0.18362046403920984,0.5207874535715775,-0.33979122614872215,2.599673880583075,0.17756040220683733,0.5002842344651475,-0.34203245990997566,2.448236577248702,0.16553140568108526,0.45957669847573474,-0.34649279496648266,2.0446812458391164,0.1301627427215024,0.33981090238820116,-0.37074389561131094,1.514054582498151,0.07353973568205685,0.14783299749889098,-0.4104021566130297,0.5149501661129569,-0.3406250295723452,-0.3188235543793616,-0.29748962819869873,-0.2561903199677864,-0.1426530046316874,0.015649526106793266
