scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,5,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,4.042312679723504,0.26993237779600965,0.864053717294248,-0.24796521169283292,0.006534779121163181
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,10,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,3.922826629738199,0.26343040443022914,0.8407042006152486,-0.24879211911429944,0.013036752486943692
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,20,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,3.694312472369131,0.25052423000644697,0.7943463472853413,-0.2504434547230281,0.02594292691072586
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,50,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,3.0853600908991634,0.21257641513135672,0.6579629406266041,-0.2553776811574814,0.06389074178581611
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,100,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,2.284661041318289,0.15182434793392585,0.43936834034900624,-0.306528519158747,0.12464280898324698
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,0,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,0.0
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,5,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,4.382292428576735,0.2875986849538199,0.9231163042058488,-0.22442004678688743,0.00995155296582717
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,10,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,4.189418098402652,0.2777219794368826,0.8878270433360161,-0.2256989860583002,0.019828258482764483
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,20,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,3.8286847109989615,0.2581909073869679,0.818020524731841,-0.2282511145521664,0.03935933053267915
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,50,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,2.921909995366828,0.20133745311996387,0.6146442371519977,-0.25344018492349785,0.0962127847996832
