scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l20_s3_b3_x500_y50_baseline,300000000,0.2,2023,50,0.1771823795805305,0.0888730476382237,0.970709040623114,2.118462328768911
p_l20_s3_b3_x500_y50_baseline,300000000,0.2,2024,52,0.09423693232803743,0.08786168461720356,0.941307806400465,4.4501022776467885
p_l20_s3_b3_x500_y50_baseline,300000000,0.2,2025,51,0.35503750273510293,0.0782773195644615,0.978495250721798,1.9464905113379316
p_l20_s3_b3_x500_y50_baseline,500000000,0.05,2023,50,0.08730446204892628,0.03946604268951122,0.5754573197104663,28.19859531758329
p_l20_s3_b3_x500_y50_baseline,500000000,0.05,2024,52,0.09408049551787978,0.03838280316412667,0.5478962918002204,30.62773310723675
p_l20_s3_b3_x500_y50_baseline,500000000,0.05,2025,51,0.2816543325711369,0.050169584968396415,0.709772928735941,20.60663649444878
p_l20_s3_b3_x500_y50_baseline,500000000,0.1,2023,50,0.11311053303612861,0.06459241011775531,0.7676114202023063,16.435945284097325
p_l20_s3_b3_x500_y50_baseline,500000000,0.1,2024,52,0.128526862418179,0.06435873193458568,0.7473056786071195,18.2314825428968
p_l20_s3_b3_x500_y50_baseline,500000000,0.1,2025,51,0.3176524576143738,0.07227000193275904,0.8759598925555795,9.340418135400599
p_l20_s3_b3_x500_y50_baseline,500000000,0.2,2023,50,0.13715689559823474,0.09086436850484525,0.913593544194444,6.35582516528632
p_l20_s3_b3_x500_y50_baseline,500000000,0.2,2024,52,0.08294927298803767,0.08987495963677786,0.8885639015015883,8.411432774423439
p_l20_s3_b3_x500_y50_baseline,500000000,0.2,2025,51,0.33866664057522744,0.08700346035978519,0.9614192605662134,3.1941524845066684
p_l20_s5_b2_x500_y50_baseline,100000000,0.05,2023,50,0.15727503529080877,0.06187740720508817,0.9411034554022634,4.290078396115266
p_l20_s5_b2_x500_y50_baseline,100000000,0.05,2024,52,0.10334850775516435,0.06124316328265251,0.8995467459304408,7.651314099182042
p_l20_s5_b2_x500_y50_baseline,100000000,0.05,2025,51,0.36434468270250786,0.058026569964982726,0.942111928810251,4.469086081087043
p_l20_s5_b2_x500_y50_baseline,100000000,0.1,2023,50,0.18580380324935208,0.06710425048260651,0.9802031949656371,1.4412300830904063
p_l20_s5_b2_x500_y50_baseline,100000000,0.1,2024,52,0.12517634648200282,0.06599865659134765,0.9351770119701668,4.883310123275825
p_l20_s5_b2_x500_y50_baseline,100000000,0.1,2025,51,0.36966967963328745,0.05878731235320148,0.9482125688931224,3.9752638497752635
p_l20_s5_b2_x500_y50_baseline,100000000,0.2,2023,50,0.18833133796392,0.06765193345487251,0.9833322481368159,1.2127038579461713
p_l20_s5_b2_x500_y50_baseline,100000000,0.2,2024,52,0.12903000349034666,0.06678144629081412,0.9403058443244598,4.476006413439171
