fold,train_start_year,train_end_year,test_start_year,test_end_year,scenario,description,max_turnover,buffer_multiplier,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,mean_actual_stock_count,train_rank
1,2020,2022,2023,2023,tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0.44395201127956657,0.19300944561544636,0.16674285346654694,0.7583466163197196,-0.16042028280254658,-0.16154290184619602,0.8605841939125203,0.9585114121097935,0.015516746243838801,0.09026557567140225,0.08283172096620348,105.72447447447448,19
1,2020,2022,2023,2023,tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,0.21618181898673203,0.1458324410932475,0.12385727903954802,0.5450912046180594,-0.15476921827396461,-0.15605293920841967,0.8579872420229625,0.9585591548593386,0.01563884374824544,0.08592020561903602,0.08207149901222782,105.38288288288288,20
2,2021,2023,2024,2024,tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,0.7908344472933079,0.21230419538270992,0.16336259318154944,0.9676381740541815,-0.13091032132873634,-0.1372088318073693,0.8742336972379726,0.9108621493680713,0.0423178425999593,0.15373661259621527,0.20372800709473793,113.99342105263158,1
2,2021,2023,2024,2024,tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,0.7735858789004719,0.21286645662554468,0.15842811811180812,0.9778200705962331,-0.12864980530491252,-0.13444569429413533,0.8695749797159708,0.9098802584464711,0.040740097482060485,0.16095363620841585,0.2018833733896848,114.01754385964912,2
2,2021,2023,2024,2024,tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0.7278418214619109,0.19327907854249615,0.14820896365245706,0.8676919597526286,-0.12398506958158403,-0.1263484773359539,0.8619260878747584,0.9207692267034828,0.03189752364162766,0.11724873824526827,0.1656514764024463,112.72076023391813,3
2,2021,2023,2024,2024,tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,0.7218966503930074,0.20239526968235544,0.1581972785835688,0.9196324459179481,-0.12937980427940998,-0.13643897432043695,0.8651195069184084,0.9066230079852657,0.03945252903886647,0.15457339579246335,0.20322029473311978,115.22441520467835,4
2,2021,2023,2024,2024,tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0.7206857782716707,0.1933343561396358,0.14982937851729927,0.8683899368136344,-0.12794441609968982,-0.13025852843216268,0.8635821389839761,0.9222478348853606,0.03190523478106574,0.12062203972927793,0.16484529055382025,112.47807017543859,5
2,2021,2023,2024,2024,tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0.6916089548830076,0.19258260788104384,0.1475001121381574,0.8675253990993925,-0.1329759936473428,-0.1343071083430647,0.867137917879861,0.9246454787174133,0.0332792682954053,0.1342710857888912,0.1635461917341982,111.68567251461988,6
2,2021,2023,2024,2024,tc60_buf1p5,"max_turnover=60%, buffer=1.5x",0.6,1.5,0.6866910368763246,0.19985247503681514,0.14653350480515415,0.904119195850618,-0.1272403797527414,-0.13432495265026123,0.8823786353565843,0.9026948178026513,0.051849733489615524,0.17374402142836057,0.23789323894910774,114.90204678362574,7
2,2021,2023,2024,2024,tc50_buf1p5,"max_turnover=50%, buffer=1.5x",0.5,1.5,0.6817444413055103,0.1970379036134648,0.1449424239386592,0.8945104811574747,-0.12954385792332074,-0.13528818859063385,0.871418552474797,0.9115739265138922,0.04110305624120679,0.15021632821176492,0.20100857932109756,113.58187134502924,8
2,2021,2023,2024,2024,tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0.6556227913053849,0.18113605021527127,0.15063617918184935,0.8004850091033546,-0.14098483997201447,-0.14217494181094747,0.864105470826955,0.9411219767673735,0.024933606512846696,0.13896396762037402,0.1241511528146661,108.96198830409357,9
2,2021,2023,2024,2024,tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,0.6542420938389565,0.19437335484182103,0.14173695711416312,0.8752691911893024,-0.1295447590721298,-0.13799083288195213,0.8867008303428673,0.9036286211774903,0.05452320615066715,0.16468101732549742,0.2392318765205149,114.53289473684211,10
2,2021,2023,2024,2024,tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0.6525788140908391,0.17855902806286825,0.14695379639243833,0.7893269912015932,-0.13351006567842155,-0.13478168204700558,0.8592563832826096,0.9381101546807353,0.02404590598304352,0.13727850528858437,0.12555164065221205,109.84283625730994,11
