date,code,pct_chg,close
2020-07-21,000905.SH,0.00559031,6563.32
2020-07-22,000852.SH,0.00946023,7125.57
2020-07-22,000905.SH,0.00874039,6620.69
2020-07-23,000852.SH,-0.000827653,7119.67
2020-07-23,000905.SH,-9.0474e-05,6620.09
2020-07-24,000852.SH,-0.0470578,6784.63
2020-07-24,000905.SH,-0.0507706,6283.98
2020-07-27,000852.SH,0.000279204,6786.53
2020-07-27,000905.SH,0.00234835,6298.74
2020-07-28,000852.SH,0.0105229,6857.94
2020-07-28,000905.SH,0.00967258,6359.66
2020-07-29,000852.SH,0.0295412,7060.53
2020-07-29,000905.SH,0.0268263,6530.27
2020-07-30,000852.SH,-0.00163634,7048.98
2020-07-30,000905.SH,-0.00288365,6511.44
2020-07-31,000852.SH,0.0131382,7141.59
2020-07-31,000905.SH,0.0104791,6579.67
2020-08-03,000852.SH,0.0324506,7373.34
2020-08-03,000905.SH,0.0243386,6739.81
2020-08-04,000852.SH,-0.00639492,7326.19
2020-08-04,000905.SH,-0.00624632,6697.71
2020-08-05,000852.SH,0.0137861,7427.19
2020-08-05,000905.SH,0.0112177,6772.84
2020-08-06,000852.SH,0.000750863,7432.77
2020-08-06,000905.SH,-0.000375323,6770.3
2020-08-07,000852.SH,-0.0125061,7339.81
2020-08-07,000905.SH,-0.0120263,6688.88
2020-08-10,000852.SH,0.00259553,7358.86
2020-08-10,000905.SH,0.00544456,6725.3
2020-08-11,000852.SH,-0.0197608,7213.45
2020-08-11,000905.SH,-0.0185042,6600.85
2020-08-12,000852.SH,-0.0167867,7092.35
2020-08-12,000905.SH,-0.0109754,6528.4
2020-08-13,000852.SH,0.00304197,7113.93
2020-08-13,000905.SH,0.00371607,6552.66
2020-08-14,000852.SH,0.00984386,7183.96
2020-08-14,000905.SH,0.0108205,6623.56
2020-08-17,000852.SH,0.0216782,7339.69
2020-08-17,000905.SH,0.0182662,6744.55
2020-08-18,000852.SH,0.00961182,7410.24
2020-08-18,000905.SH,0.00665026,6789.4
2020-08-19,000852.SH,-0.0207969,7256.13
2020-08-19,000905.SH,-0.0181353,6666.27
2020-08-20,000852.SH,-0.0144526,7151.26
2020-08-20,000905.SH,-0.0108732,6593.79
2020-08-21,000852.SH,0.00601474,7194.27
2020-08-21,000905.SH,0.00760641,6643.94
2020-08-24,000852.SH,0.00825183,7253.64
2020-08-24,000905.SH,0.00677549,6688.96
2020-08-25,000852.SH,-0.00550861,7213.68
2020-08-25,000905.SH,-0.00544404,6652.55
2020-08-26,000852.SH,-0.0243572,7037.98
2020-08-26,000905.SH,-0.0190405,6525.88
2020-08-27,000852.SH,0.0107738,7113.8
2020-08-27,000905.SH,0.00810787,6578.79
2020-08-28,000852.SH,0.0127889,7204.78
2020-08-28,000905.SH,0.0170881,6691.21
2020-08-31,000852.SH,0.00267381,7224.05
2020-08-31,000905.SH,-0.00340447,6668.43
2020-09-01,000852.SH,0.00482298,7258.89
2020-09-01,000905.SH,0.00630238,6710.46
2020-09-02,000852.SH,0.00189245,7272.62
2020-09-02,000905.SH,0.00105805,6717.56
2020-09-03,000852.SH,-0.0113802,7189.86
2020-09-03,000905.SH,-0.00823335,6662.25
2020-09-04,000852.SH,-0.00107864,7182.11
2020-09-04,000905.SH,-0.00655514,6618.58
2020-09-07,000852.SH,-0.017392,7057.19
2020-09-07,000905.SH,-0.0211172,6478.81
2020-09-08,000852.SH,0.00650288,7103.09
2020-09-08,000905.SH,0.00714452,6525.1
2020-09-09,000852.SH,-0.0317446,6877.6
2020-09-09,000905.SH,-0.0269541,6349.22
2020-09-10,000852.SH,-0.0354356,6633.89
2020-09-10,000905.SH,-0.0179003,6235.57
2020-09-11,000852.SH,0.0163056,6742.06
2020-09-11,000905.SH,0.0122524,6311.97
2020-09-14,000852.SH,0.0157666,6848.36
2020-09-14,000905.SH,0.00622199,6351.24
2020-09-15,000852.SH,0.00485185,6881.59
2020-09-15,000905.SH,0.00576864,6387.88
