scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,100,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,1.5717847673315177,0.08043437657630514,0.1664198296506526,-0.49018607929703617,0.24662374942034515
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,5.650522852886184,0.34482347248732825,1.0433189922823982,-0.341153308444909,0.0
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,5,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,5.321589760958971,0.3310954194441469,0.9979906128421755,-0.34614206091829924,0.013728053043181365
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,10,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,5.011744695137972,0.3175048000130898,0.9531026554139478,-0.3510940255530236,0.02731867247423847
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,20,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,4.444965550849584,0.2907304797805892,0.8646310863737913,-0.3624098633689462,0.05409299270673906
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,50,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,3.1001417493409935,0.21356829270522404,0.6093536832526001,-0.4137209015127261,0.13125517978210421
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,100,301,0.39847176079734214,0.6404651162790698,0.2422624706722343,21.335516251856735,16.3953488372093,5.650522852886184,0.34482347248732825,1.043318992282398,-0.341153308444909,1.6988369845606326,0.0948981673359619,0.21578597483170048,-0.4905281287533253,0.24992530515136635
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,0.0
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,5,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,5.680725661272505,0.34605050555108696,1.0496859680047428,-0.3358081801314834,0.013882290081595361
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,10,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,5.349970211211119,0.33230719317189905,1.0042079149144572,-0.34083840796244214,0.027625602460783272
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,20,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,4.744941080094318,0.3052320588439683,0.9145734906749414,-0.3549986125876945,0.05470073678871401
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,50,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,3.309359717703985,0.22720294131789642,0.6559422583410195,-0.40686589486421565,0.1327298543147859
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,100,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,1.813485684919332,0.10719953666805515,0.2572087564462788,-0.4845711825247515,0.25273325896462717
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,0.0
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,5,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,5.638846759814666,0.3443476567612187,1.0489939951976794,-0.33630588611621726,0.013864728005901661
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,10,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,5.310529673393005,0.3306217306411321,1.0033564709949356,-0.34133234459256945,0.027590654125988268
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,20,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,4.709960880069651,0.3035808482669995,0.9134077969147203,-0.353715856783384,0.05463153650012087
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,50,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,3.2849627730581434,0.22565044307587057,0.6538702820230555,-0.4056862908649901,0.1325619416912498
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,100,301,0.39847176079734214,0.6393355481727575,0.23864731805419107,23.232561688433055,15.29235880398671,5.987389842413224,0.35821238476712036,1.0950793795206004,-0.33124208639106245,1.8001164795004347,0.10579885119348886,0.2537410316025656,-0.4835461160361696,0.2524135335736315
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,0,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,7.745221498396552,0.4193630481128068,1.2934832190559662,-0.28343899334207245,0.0
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,5,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,7.191479220314823,0.40146460919957083,1.234270451553927,-0.285392779274524,0.017898438913235948
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,10,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,6.677203827289848,0.38378752097034186,1.1757693889941148,-0.28868035122401425,0.035575527142464924
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,20,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,5.756035629688609,0.3490866940169839,1.0608686473718925,-0.2991550601194737,0.07027635409582289
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,50,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,3.685682890636141,0.2500240095685584,0.7323877578449804,-0.36619299579374087,0.16933903854424837
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,100,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,1.7506531889098198,0.10054046565329866,0.2352701726136902,-0.4679752396384843,0.3188225824595081
