scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
tc20_buf3,10,2023,50,0.20159064860399334,0.18963343209227213,0.19999999999999996,0.56
tc20_buf3,10,2024,52,-0.1145512209813947,-0.12371308024448557,0.19999999999999993,0.5384615384615384
tc20_buf3,10,2025,51,0.4070097749523025,0.39272979890000603,0.19999999999999996,0.6274509803921569
tc20_buf3,20,2020,46,0.2839262918544958,0.26101783139647017,0.1956521739130434,0.5
tc20_buf3,20,2021,52,0.31342264559010435,0.28638026167324004,0.19999999999999993,0.6538461538461539
tc20_buf3,20,2022,50,0.10365339125847828,0.08179526155809769,0.19999999999999996,0.56
tc20_buf3,20,2023,50,0.20159064860399334,0.17779284718193367,0.19999999999999996,0.56
tc20_buf3,20,2024,52,-0.1145512209813947,-0.13278194503761065,0.19999999999999993,0.5384615384615384
tc20_buf3,20,2025,51,0.4070097749523025,0.378591939242259,0.19999999999999996,0.6274509803921569
tc20_buf3,50,2020,46,0.2839262918544958,0.22740266657624786,0.1956521739130434,0.5
tc20_buf3,50,2021,52,0.31342264559010435,0.24683759199638078,0.19999999999999993,0.6538461538461539
tc20_buf3,50,2022,50,0.10365339125847828,0.04980131734380566,0.19999999999999996,0.56
tc20_buf3,50,2023,50,0.20159064860399334,0.14295978774104,0.19999999999999996,0.56
tc20_buf3,50,2024,52,-0.1145512209813947,-0.15943978339761622,0.19999999999999993,0.5192307692307693
tc20_buf3,50,2025,51,0.4070097749523025,0.33701726124600495,0.19999999999999996,0.6274509803921569
tc20_buf3,100,2020,46,0.2839262918544958,0.17331453363339988,0.1956521739130434,0.5
tc20_buf3,100,2021,52,0.31342264559010435,0.18356645271475758,0.19999999999999993,0.6346153846153846
tc20_buf3,100,2022,50,0.10365339125847828,-0.0014731060795282191,0.19999999999999996,0.54
tc20_buf3,100,2023,50,0.20159064860399334,0.08713531586786849,0.19999999999999996,0.52
tc20_buf3,100,2024,52,-0.1145512209813947,-0.2020942581107874,0.19999999999999993,0.5
tc20_buf3,100,2025,51,0.4070097749523025,0.27044164155509254,0.19999999999999996,0.6274509803921569
tc20_buf4,0,2020,46,0.27267929327764673,0.27267929327764673,0.1956521739130434,0.5
tc20_buf4,0,2021,52,0.30431089833039016,0.30431089833039016,0.19999999999999993,0.6346153846153846
tc20_buf4,0,2022,50,0.11462821146208979,0.11462821146208979,0.19999999999999996,0.54
tc20_buf4,0,2023,50,0.19655428128042884,0.19655428128042884,0.19999999999999996,0.56
tc20_buf4,0,2024,52,-0.11581979731904057,-0.11581979731904057,0.19999999999999993,0.5576923076923077
tc20_buf4,0,2025,51,0.410184127294807,0.410184127294807,0.19999999999999996,0.6470588235294118
tc20_buf4,5,2020,46,0.27267929327764673,0.2669648179425286,0.1956521739130434,0.5
tc20_buf4,5,2021,52,0.30431089833039016,0.2975457480315902,0.19999999999999993,0.6346153846153846
tc20_buf4,5,2022,50,0.11462821146208979,0.10906870277930403,0.19999999999999996,0.54
tc20_buf4,5,2023,50,0.19655428128042884,0.19058614423904063,0.19999999999999996,0.56
tc20_buf4,5,2024,52,-0.11581979731904057,-0.12040582965996105,0.19999999999999993,0.5576923076923077
tc20_buf4,5,2025,51,0.410184127294807,0.4030101387613505,0.19999999999999996,0.6470588235294118
tc20_buf4,10,2020,46,0.27267929327764673,0.26127543356650884,0.1956521739130434,0.5
tc20_buf4,10,2021,52,0.30431089833039016,0.2908150155995275,0.19999999999999993,0.6346153846153846
tc20_buf4,10,2022,50,0.11462821146208979,0.10353637176609265,0.19999999999999996,0.54
tc20_buf4,10,2023,50,0.19655428128042884,0.18464718244779488,0.19999999999999996,0.56
tc20_buf4,10,2024,52,-0.11581979731904057,-0.12496853044977352,0.19999999999999993,0.5576923076923077
tc20_buf4,10,2025,51,0.410184127294807,0.3958719342130077,0.19999999999999996,0.6470588235294118
tc20_buf4,20,2020,46,0.27267929327764673,0.24997150744074492,0.1956521739130434,0.5
tc20_buf4,20,2021,52,0.30431089833039016,0.2774561184329778,0.19999999999999993,0.6153846153846154
tc20_buf4,20,2022,50,0.11462821146208979,0.09255272272004977,0.19999999999999996,0.54
tc20_buf4,20,2023,50,0.19655428128042884,0.17285622636488296,0.19999999999999996,0.56
tc20_buf4,20,2024,52,-0.11581979731904057,-0.134024402343074,0.19999999999999993,0.5384615384615384
tc20_buf4,20,2025,51,0.410184127294807,0.3817021781543113,0.19999999999999996,0.6470588235294118
tc20_buf4,50,2020,46,0.27267929327764673,0.2166508063395789,0.1956521739130434,0.5
tc20_buf4,50,2021,52,0.30431089833039016,0.23818777234363897,0.19999999999999993,0.6153846153846154
tc20_buf4,50,2022,50,0.11462821146208979,0.060240628089931025,0.19999999999999996,0.54
tc20_buf4,50,2023,50,0.19655428128042884,0.13816916679719826,0.19999999999999996,0.56
tc20_buf4,50,2024,52,-0.11581979731904057,-0.16064404820255507,0.19999999999999993,0.5384615384615384
tc20_buf4,50,2025,51,0.410184127294807,0.3400337035982619,0.19999999999999996,0.6470588235294118
tc20_buf4,100,2020,46,0.27267929327764673,0.1630364771953543,0.1956521739130434,0.5
tc20_buf4,100,2021,52,0.30431089833039016,0.17535557069713592,0.19999999999999993,0.6153846153846154
tc20_buf4,100,2022,50,0.11462821146208979,0.008456327577855749,0.19999999999999996,0.54
