scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
tc30_buf1p5,0,2023,50,0.11752142403912358,0.11752142403912358,0.30000000000000004,0.48
tc30_buf1p5,0,2024,52,0.04321552362230685,0.04321552362230685,0.30000000000000004,0.5192307692307693
tc30_buf1p5,0,2025,51,0.7774279326642317,0.7774279326642317,0.30000000000000004,0.7450980392156863
tc30_buf1p5,5,2020,46,0.252602180301434,0.2441749574036487,0.2934782608695653,0.5434782608695652
tc30_buf1p5,5,2021,52,0.4783961084893451,0.46690861672348505,0.30000000000000004,0.6923076923076923
tc30_buf1p5,5,2022,50,0.19459364043238336,0.18566703523307182,0.30000000000000004,0.62
tc30_buf1p5,5,2023,50,0.11752142403912358,0.10917074124915138,0.30000000000000004,0.46
tc30_buf1p5,5,2024,52,0.04321552362230685,0.03510948920513557,0.30000000000000004,0.5192307692307693
tc30_buf1p5,5,2025,51,0.7774279326642317,0.7638814742423072,0.30000000000000004,0.7450980392156863
tc30_buf1p5,10,2020,46,0.252602180301434,0.23580317932016115,0.2934782608695653,0.5434782608695652
tc30_buf1p5,10,2021,52,0.4783961084893451,0.4555086820621608,0.30000000000000004,0.6730769230769231
tc30_buf1p5,10,2022,50,0.19459364043238336,0.17680580981809646,0.30000000000000004,0.62
tc30_buf1p5,10,2023,50,0.11752142403912358,0.10088122010211853,0.30000000000000004,0.46
tc30_buf1p5,10,2024,52,0.04321552362230685,0.027065238588752205,0.30000000000000004,0.5192307692307693
tc30_buf1p5,10,2025,51,0.7774279326642317,0.7504362493341834,0.30000000000000004,0.7450980392156863
tc30_buf1p5,20,2020,46,0.252602180301434,0.2192245336434746,0.2934782608695653,0.5434782608695652
tc30_buf1p5,20,2021,52,0.4783961084893451,0.43296887137272755,0.30000000000000004,0.6538461538461539
tc30_buf1p5,20,2022,50,0.19459364043238336,0.15927762504216325,0.30000000000000004,0.62
tc30_buf1p5,20,2023,50,0.11752142403912358,0.08448391029848468,0.30000000000000004,0.46
tc30_buf1p5,20,2024,52,0.04321552362230685,0.011160245146398129,0.30000000000000004,0.5
tc30_buf1p5,20,2025,51,0.7774279326642317,0.7238465393619156,0.30000000000000004,0.7450980392156863
tc30_buf1p5,50,2020,46,0.252602180301434,0.17078264911925967,0.2934782608695653,0.5434782608695652
tc30_buf1p5,50,2021,52,0.4783961084893451,0.36738373431804816,0.30000000000000004,0.6153846153846154
tc30_buf1p5,50,2022,50,0.19459364043238336,0.10821406751533336,0.30000000000000004,0.6
tc30_buf1p5,50,2023,50,0.11752142403912358,0.03671484675045278,0.30000000000000004,0.44
tc30_buf1p5,50,2024,52,0.04321552362230685,-0.03511925511841951,0.30000000000000004,0.5
tc30_buf1p5,50,2025,51,0.7774279326642317,0.6464309840983671,0.30000000000000004,0.7254901960784313
tc30_buf1p5,100,2020,46,0.252602180301434,0.0941964144955183,0.2934782608695653,0.5
tc30_buf1p5,100,2021,52,0.4783961084893451,0.26455884294649024,0.30000000000000004,0.5769230769230769
tc30_buf1p5,100,2022,50,0.19459364043238336,0.027964493141767743,0.30000000000000004,0.58
tc30_buf1p5,100,2023,50,0.11752142403912358,-0.038357224284531255,0.30000000000000004,0.42
tc30_buf1p5,100,2024,52,0.04321552362230685,-0.1076766179778198,0.30000000000000004,0.4807692307692308
tc30_buf1p5,100,2025,51,0.7774279326642317,0.5249130280202787,0.30000000000000004,0.7254901960784313
tc30_buf2,0,2020,46,0.2990205268685875,0.2990205268685875,0.2934782608695653,0.5434782608695652
tc30_buf2,0,2021,52,0.4841076608375343,0.4841076608375343,0.30000000000000004,0.7115384615384616
tc30_buf2,0,2022,50,0.2115572041758227,0.2115572041758227,0.30000000000000004,0.6
tc30_buf2,0,2023,50,0.13037667048414514,0.13037667048414514,0.30000000000000004,0.48
tc30_buf2,0,2024,52,0.048822189340218314,0.048822189340218314,0.30000000000000004,0.5192307692307693
tc30_buf2,0,2025,51,0.7566306634608855,0.7566306634608855,0.30000000000000004,0.7254901960784313
tc30_buf2,5,2020,46,0.2990205268685875,0.2902810118806072,0.2934782608695653,0.5434782608695652
tc30_buf2,5,2021,52,0.4841076608375343,0.4725757889422939,0.30000000000000004,0.7115384615384616
tc30_buf2,5,2022,50,0.2115572041758227,0.2025038386864959,0.30000000000000004,0.6
tc30_buf2,5,2023,50,0.13037667048414514,0.12192992681968629,0.30000000000000004,0.48
tc30_buf2,5,2024,52,0.048822189340218314,0.04067258978789878,0.30000000000000004,0.5192307692307693
