scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l40_s10_b2_e1_n120_tc50_buf2,"L=40, S=10, bins=2, E=1, top_n=120, tc50_buf2",40,10,2,1,120,0.6942699372340884,0.20976887815814055,0.1795140423953776,0.6337418399252307,-0.23641108539575045,-0.24111938212601125,0.9047890347068948,0.9330086751060883,0.03501051558042792,0.2205670778911332,0.38427930257629384
p_l40_s10_b3_e1_n120_tc50_buf2,"L=40, S=10, bins=3, E=1, top_n=120, tc50_buf2",40,10,3,1,120,0.6775954803290736,0.20595241053172977,0.17363468566405427,0.6229255020040831,-0.2294249423454862,-0.23333310271604724,0.905014531575321,0.9341417262074843,0.03318336704585876,0.23134935278576169,0.3827254991640467
p_l20_s3_b2_e1_n100_tc50_buf2,"L=20, S=3, bins=2, E=1, top_n=100, tc50_buf2",20,3,2,1,100,0.6562971465161272,0.21150022716496736,0.17325708491356884,0.6856989549267954,-0.20120750598104176,-0.2091527053795288,0.8865082640565096,0.9215192889632411,0.03765827640267774,0.24745348465631714,0.39700682705214846
p_l40_s3_b3_e1_n100_tc50_buf2,"L=40, S=3, bins=3, E=1, top_n=100, tc50_buf2",40,3,3,1,100,0.6539611985204932,0.2235914551344117,0.17968283430780851,0.7135257588252614,-0.24209345653157793,-0.25364972440696054,0.8906798238894975,0.9206767409359171,0.042874873070142455,0.2508194274052013,0.39527535592062674
p_l10_s10_b2_e1_n120_tc50_buf2,"L=10, S=10, bins=2, E=1, top_n=120, tc50_buf2",10,10,2,1,120,0.6535148745904719,0.1945786627144397,0.17491208835325156,0.6240776247798018,-0.22866898753058745,-0.23773634372179564,0.8944450083178483,0.9299108330950125,0.028196567354236805,0.1801164545099208,0.39375553475689734
p_l10_s10_b3_e1_n120_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=120, tc50_buf2",10,10,3,1,120,0.6515193874106471,0.1981723266624811,0.17991869181683828,0.6331053639999138,-0.2547410645152579,-0.263220985912599,0.9000494421148074,0.9323235626076047,0.029722803400330004,0.1863707449258933,0.3948818922414568
p_l20_s5_b3_e1_n80_tc50_buf2,"L=20, S=5, bins=3, E=1, top_n=80, tc50_buf2",20,5,3,1,80,0.6495502231161535,0.23768781397819203,0.19044815544741156,0.7723025091969101,-0.21863483857496202,-0.22575235676018857,0.8516036030388796,0.8966068432166426,0.04745811411299632,0.21690170962541178,0.3949402857987032
p_l40_s5_b2_e1_n120_tc50_buf2,"L=40, S=5, bins=2, E=1, top_n=120, tc50_buf2",40,5,2,1,120,0.6307195949962533,0.19617158352325148,0.1741552094440848,0.6156645594090792,-0.2500972839556874,-0.2532924554251509,0.9069162670102051,0.9341739756387734,0.033574160897797384,0.21434736407605773,0.39286093458685145
p_l10_s10_b3_e1_n100_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=100, tc50_buf2",10,10,3,1,100,0.6270727797357041,0.205728895891394,0.18194071396667932,0.669627022639718,-0.24355514003041773,-0.25478155539099834,0.8831137497177247,0.9188812941444486,0.037915974266082265,0.18175925431103807,0.3960437915205925
p_l40_s5_b3_e1_n100_tc50_buf2,"L=40, S=5, bins=3, E=1, top_n=100, tc50_buf2",40,5,3,1,100,0.6253216261511133,0.2136258251393943,0.17335833797478428,0.6793088846387433,-0.2274994030114816,-0.23606471195301526,0.8858344375534011,0.9187993563712991,0.040877763342898804,0.2350952969494456,0.3936790362064497
p_l40_s3_b2_e1_n120_tc50_buf2,"L=40, S=3, bins=2, E=1, top_n=120, tc50_buf2",40,3,2,1,120,0.6145132980370728,0.18662762987623815,0.169320106041275,0.5825301616019416,-0.23173877466905501,-0.23455436171276567,0.9072210752196767,0.9351568551220613,0.03253487252052126,0.21532075921625143,0.39268687669163366
p_l20_s10_b3_e1_n100_tc50_buf2,"L=20, S=10, bins=3, E=1, top_n=100, tc50_buf2",20,10,3,1,100,0.5886466023354345,0.1976211876325527,0.16776370934824558,0.618916546588631,-0.22151723528235534,-0.22635149440422486,0.8898280283850839,0.921659825796803,0.04059049202471958,0.21831542008929933,0.3948114945649248
p_l10_s10_b2_e1_n100_tc50_buf2,"L=10, S=10, bins=2, E=1, top_n=100, tc50_buf2",10,10,2,1,100,0.587948365802869,0.19749050169128182,0.171326831492584,0.6363542140083411,-0.2339274295512514,-0.24462698312558917,0.8817696414268208,0.9179528059510675,0.03823723984570212,0.17520701677896777,0.39610251013855013
p_l40_s10_b3_e1_n100_tc50_buf2,"L=40, S=10, bins=3, E=1, top_n=100, tc50_buf2",40,10,3,1,100,0.5850829604913348,0.2091044076485891,0.16228094563873974,0.6324874541980333,-0.23643010997804392,-0.24373449776675615,0.8888508011249926,0.9203584951898465,0.04215708305632529,0.2300305655710224,0.3876266069840566
p_l40_s10_b2_e1_n100_tc50_buf2,"L=40, S=10, bins=2, E=1, top_n=100, tc50_buf2",40,10,2,1,100,0.5789050924740392,0.20626923087306817,0.16942293756956728,0.6225694805695974,-0.24728765822108498,-0.25460705132218653,0.8856522182120924,0.9182005108173283,0.04312004069655622,0.20498150978407992,0.3866455541020154
p_l40_s5_b3_e1_n80_tc50_buf2,"L=40, S=5, bins=3, E=1, top_n=80, tc50_buf2",40,5,3,1,80,0.5563554279442752,0.22774220187937633,0.1768308065286177,0.7360684494562643,-0.22668251797542283,-0.23401885375934928,0.8577785033616668,0.8968679542530228,0.05361491627196924,0.2517075808207786,0.39254444331986854
p_l20_s10_b2_e1_n120_tc50_buf2,"L=20, S=10, bins=2, E=1, top_n=120, tc50_buf2",20,10,2,1,120,0.5412042002921074,0.1751520298154321,0.15687356256174034,0.5259143840319829,-0.24176309043433866,-0.2529632486359411,0.9001120056313258,0.9322149990094997,0.03038627020118591,0.1832339074225256,0.3922676509467677
p_l20_s5_b2_e1_n80_tc50_buf2,"L=20, S=5, bins=2, E=1, top_n=80, tc50_buf2",20,5,2,1,80,0.538550348527072,0.22227018329505008,0.1682939420320828,0.7155955400031093,-0.2213922992695811,-0.22889662854851023,0.8526788843485691,0.8965994482859878,0.04931666957367296,0.22934300524820755,0.3949336592792219
p_l40_s3_b3_e1_n80_tc50_buf2,"L=40, S=3, bins=3, E=1, top_n=80, tc50_buf2",40,3,3,1,80,0.5235765961102413,0.22645232914557148,0.1733304394212456,0.7215106698388811,-0.253151511283566,-0.26022770918347304,0.8643852531541243,0.9003357933952777,0.054442203106918524,0.2600888122905816,0.3940275454867261
p_l10_s10_b3_e1_n80_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=80, tc50_buf2",10,10,3,1,80,0.5221895075850789,0.20866744440657486,0.17362935000009694,0.684506414567323,-0.23899385206197296,-0.2530924865434877,0.8598831217793638,0.9000902484211478,0.049875622831016896,0.18796076155060917,0.3950647791751402
p_l20_s3_b3_e1_n80_tc50_buf2,"L=20, S=3, bins=3, E=1, top_n=80, tc50_buf2",20,3,3,1,80,0.5221110839746304,0.21871209335040798,0.17358232803070806,0.7121608295016782,-0.23738459859974992,-0.24826864783107805,0.8603275618906311,0.8998455686314407,0.052084745102276765,0.2450318081449064,0.39578013676440604
p_l40_s10_b3_e1_n80_tc50_buf2,"L=40, S=10, bins=3, E=1, top_n=80, tc50_buf2",40,10,3,1,80,0.5208622532295554,0.21717080347847284,0.1601312677229183,0.6633187807922183,-0.2232539686991255,-0.23053974226096663,0.8640203404599124,0.8992318381794858,0.05642630128561684,0.21699646454880814,0.38827014721133674
p_l20_s10_b3_e1_n80_tc50_buf2,"L=20, S=10, bins=3, E=1, top_n=80, tc50_buf2",20,10,3,1,80,0.49814048393208976,0.20380698861888832,0.16430743557014282,0.6450021452943084,-0.21451208952599254,-0.2165195284463477,0.8623371364789105,0.8997536167742682,0.05372495710528786,0.2142142325348058,0.3946087820616312
p_l10_s5_b2_e1_n120_tc50_buf2,"L=10, S=5, bins=2, E=1, top_n=120, tc50_buf2",10,5,2,1,120,0.49633758047418786,0.17517791521749976,0.15221352615805395,0.5524473662075069,-0.2731066107814444,-0.2771066159788177,0.9072732979533067,0.9366759224112893,0.03036897828434569,0.21346998899924824,0.3951306019052834
p_l40_s3_b2_e1_n100_tc50_buf2,"L=40, S=3, bins=2, E=1, top_n=100, tc50_buf2",40,3,2,1,100,0.4940647438983869,0.17847014662970537,0.15503022192970684,0.5537428378350407,-0.22723929702746273,-0.23093579510577045,0.8926029598462739,0.9226481606921381,0.04187646779351219,0.2165580467424782,0.39389806990040693
p_l10_s5_b3_e1_n120_tc50_buf2,"L=10, S=5, bins=3, E=1, top_n=120, tc50_buf2",10,5,3,1,120,0.49215545637865354,0.17248315678067705,0.15099211623699116,0.5469042668003021,-0.25534871648243584,-0.26264798749955365,0.8986374038441447,0.933409908366282,0.02744786297742486,0.210865963788781,0.3937311478994794
p_l40_s5_b2_e1_n100_tc50_buf2,"L=40, S=5, bins=2, E=1, top_n=100, tc50_buf2",40,5,2,1,100,0.49021427760720715,0.1894630568216768,0.16208077158857348,0.5870019796025985,-0.26489219788585333,-0.2687003831848078,0.891359323684305,0.9209396397476038,0.043238222697138506,0.21837129763177957,0.39392079883709585
p_l20_s10_b2_e1_n100_tc50_buf2,"L=20, S=10, bins=2, E=1, top_n=100, tc50_buf2",20,10,2,1,100,0.48210665550321286,0.1818230648293817,0.15302378271876682,0.5565739435952176,-0.23893157231304307,-0.25012216456778946,0.8798873059263458,0.9168803209747955,0.038578828969237894,0.17810102669190672,0.39315781752689377
p_l10_s3_b2_e1_n120_tc50_buf2,"L=10, S=3, bins=2, E=1, top_n=120, tc50_buf2",10,3,2,1,120,0.44853918072813836,0.16679051820844104,0.13936111160082576,0.5161809163835274,-0.2804053176558996,-0.2904861913280251,0.9149703350995959,0.9397664416073754,0.03326970184775518,0.20938966343781207,0.39549673061752133
p_l10_s10_b2_e1_n80_tc50_buf2,"L=10, S=10, bins=2, E=1, top_n=80, tc50_buf2",10,10,2,1,80,0.4483428660266898,0.19285868033088327,0.15783815949284086,0.6166080917547618,-0.2265723557261996,-0.23280321996000308,0.8579124950102182,0.8984155480761541,0.051290356181102344,0.17570665901295734,0.3949427849200474
p_l40_s10_b2_e1_n80_tc50_buf2,"L=40, S=10, bins=2, E=1, top_n=80, tc50_buf2",40,10,2,1,80,0.43784924194124314,0.20285910568820853,0.16669356868167684,0.6106600928234034,-0.25535544467244553,-0.26476624868183596,0.858334126926781,0.8963566361616474,0.05613407792798217,0.20085113940377472,0.38715526824766233
p_l10_s5_b3_e1_n100_tc50_buf2,"L=10, S=5, bins=3, E=1, top_n=100, tc50_buf2",10,5,3,1,100,0.3992679602892706,0.16992582548363158,0.14454691659619412,0.5365856767925271,-0.2717664987598754,-0.2836091093859129,0.8957225287162449,0.9251025202473081,0.04153552197085137,0.2147289159537213,0.39722721003147926
