fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
1,2020,2022,2023,p_l10_s3_b2_e1_n100_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=100, tc50_buf2",10,3,2,1,100,0.3863572288414944,0.1770734096704346,0.14573120255774974,0.7141553941865753,-0.1539897199484695,-0.15691752516558566,0.9069476105572006,0.9279992605208458,0.04750674974038273,0.07916606004091663,0.19608457262352147,39
1,2020,2022,2023,p_l20_s3_b2_e1_n80_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=80, tc50_buf2",20,3,2,1,80,0.3778801789770683,0.21372494329575578,0.16348256886703805,0.8690447148656807,-0.13069898127053056,-0.14016200494799191,0.8606232755709937,0.8971025169551083,0.056455367287086555,0.16819190192967837,0.19609389952846384,40
1,2020,2022,2023,p_l40_s3_b3_e1_n100_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=100, tc50_buf2",40,3,3,1,100,0.35911389902914526,0.1830501011926714,0.15875730602679217,0.7574345745199342,-0.1498962092908808,-0.1548086623665199,0.8893712304736872,0.9177044847923496,0.04725503083300091,0.1563404463880011,0.1911528556507404,41
1,2020,2022,2023,p_l40_s3_b2_e1_n120_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=120, tc50_buf2",40,3,2,1,120,0.3564779812628391,0.15911319242530456,0.14387038547323705,0.6153582537285048,-0.15341127425961082,-0.16143253856099593,0.9108911625115508,0.9340650687735715,0.038059764636661914,0.11042019624715312,0.19125009916044308,42
1,2020,2022,2023,p_l20_s10_b3_e1_n100_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=100, tc50_buf2",20,10,3,1,100,0.3541910278300963,0.1706073489517475,0.14016992543269025,0.7068324474374937,-0.12187322985278431,-0.12556395010583177,0.8906519686343368,0.9203483968381632,0.04400948009675935,0.1332943305330503,0.19235129551526908,43
1,2020,2022,2023,p_l20_s3_b3_e1_n80_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=80, tc50_buf2",20,3,3,1,80,0.3522610715233213,0.1949240138572608,0.15448842945654406,0.7942237537058665,-0.1202673729891209,-0.13192025298845345,0.8669382362612915,0.8983097764156169,0.06053190852674898,0.10872166829233339,0.19703441131586905,44
1,2020,2022,2023,p_l40_s10_b2_e1_n80_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=80, tc50_buf2",40,10,2,1,80,0.3270544276391833,0.20947341620160378,0.1837540198861749,0.8190754294074265,-0.16881202996477673,-0.1758120579733634,0.8588890913981924,0.8927506744792765,0.06377923892322913,0.15440395489418796,0.18674886563131277,45
1,2020,2022,2023,p_l40_s5_b2_e1_n80_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=80, tc50_buf2",40,5,2,1,80,0.32541801094061684,0.19188640143206964,0.1600460678177198,0.7851915214511588,-0.1394586413670107,-0.14072206757877348,0.8660020527445031,0.8961012840692099,0.06396050546274716,0.0743189836449279,0.1911076295220776,46
1,2020,2022,2023,p_l40_s10_b3_e1_n100_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=100, tc50_buf2",40,10,3,1,100,0.2890886888052619,0.1845030573483828,0.16458632456133282,0.7158736706708165,-0.2055924099773422,-0.21168591216819033,0.8898691555960299,0.9194152844202714,0.046632513556179915,0.16751352345125947,0.18468350269685682,47
1,2020,2022,2023,p_l40_s3_b2_e1_n100_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=100, tc50_buf2",40,3,2,1,100,0.2835309906345336,0.15574964743423744,0.1383652686814938,0.6045202355806707,-0.14611415588362175,-0.15061108582303318,0.8954930969120833,0.9203331038247013,0.04834792806076655,0.10353530950345849,0.19199743590991453,48
1,2020,2022,2023,p_l20_s10_b3_e1_n80_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=80, tc50_buf2",20,10,3,1,80,0.26155226825770866,0.18156302877147118,0.1365247871304036,0.7632993819948654,-0.12724426324389346,-0.1318994803960718,0.8640359805915176,0.898109881648844,0.05808966294466162,0.13378693057710908,0.19294704333338986,49
1,2020,2022,2023,p_l10_s3_b3_e1_n80_tc50_buf4,"L=10, S=3, bins=3, E=1, top_n=80, tc50_buf2",10,3,3,1,80,0.25857215876651657,0.1640829970016911,0.135133661138787,0.6504652765238734,-0.14794928359790693,-0.1568258196875435,0.8846983106263407,0.910809803872774,0.05808720519933806,0.06999203859550594,0.19503129293137647,50
1,2020,2022,2023,p_l10_s3_b2_e1_n80_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=80, tc50_buf2",10,3,2,1,80,0.24868830341046527,0.16836712633974024,0.1339535864917436,0.6719202422770597,-0.15144311638580177,-0.1568667953612789,0.8830982511366486,0.9088462621155373,0.06147133412807035,0.07687217667852367,0.19497697457017388,51
1,2020,2022,2023,p_l40_s10_b3_e1_n80_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=80, tc50_buf2",40,10,3,1,80,0.18895956710241815,0.18574588385662624,0.1614199509523051,0.7191709091079193,-0.2029369215757605,-0.20775811450532644,0.8635042782768374,0.8978674162902754,0.060050885106436275,0.15952651917311317,0.18502771844499605,52
1,2020,2022,2023,p_l40_s3_b2_e1_n80_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=80, tc50_buf2",40,3,2,1,80,0.1619351960328742,0.1506884142076975,0.140539731683345,0.5902043129463331,-0.15315619946866926,-0.15841301547341846,0.870344582785741,0.8994364891193821,0.06219656098912523,0.10026818238481246,0.19208190179268098,53
1,2020,2022,2023,p_l40_s3_b3_e1_n80_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=80, tc50_buf2",40,3,3,1,80,0.1564517381462598,0.16375740909779182,0.14115278560179867,0.6625868316135466,-0.1649915825979934,-0.16919012520897703,0.8642153303663406,0.8980033131263218,0.05879538181849168,0.1493646086962898,0.19087548019902248,54
2,2021,2023,2024,p_l20_s5_b3_e1_n100_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=100, tc50_buf2",20,5,3,1,100,0.8028404903662404,0.2252747282758392,0.17556755517859268,1.0382093630295346,-0.10952982244940372,-0.11367415492176869,0.8718790870974,0.9095153291543051,0.041614946572931494,0.15779742653398543,0.2037808555701857,1
2,2021,2023,2024,p_l20_s5_b3_e1_n120_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=120, tc50_buf2",20,5,3,1,120,0.7811480743729365,0.20588593605873684,0.16769100694545913,0.9369664175525401,-0.11993292669149443,-0.12742554976237352,0.8940385773979931,0.9270411993596406,0.031674055293044484,0.15096631980070882,0.2037668932846458,2
2,2021,2023,2024,p_l20_s3_b3_e1_n120_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=120, tc50_buf2",20,3,3,1,120,0.7736744382858617,0.2037077575612869,0.1581159379879642,0.9269291342351124,-0.11254841100752867,-0.11407384350703931,0.8889607814603048,0.9256332767926627,0.029471738916177517,0.14317216926869206,0.20301814432451024,3
2,2021,2023,2024,p_l20_s3_b2_e1_n120_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=120, tc50_buf2",20,3,2,1,120,0.7460880598943624,0.19833943739926688,0.15890509384559448,0.8998382956463288,-0.12557491191064774,-0.12737213887643117,0.901956687817377,0.931087592482572,0.03300188233744027,0.14445025006992973,0.2044696564901211,4
