fold,scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
2,baseline,500000000,0.2,2024,52,0.028669976478477244,0.12480216035176386,0.9206490422788879,6.430187007489533
2,tc50_buf2,100000000,0.05,2024,52,0.054147821047777045,0.06368412840593311,0.9238182814258129,4.0385895220668395
2,tc50_buf2,100000000,0.1,2024,52,0.05127403330706226,0.06564504853472826,0.9441001450535241,2.900600564838766
2,tc50_buf2,100000000,0.2,2024,52,0.0513419827370829,0.06609847578690715,0.9486196548327376,2.653345618498718
2,tc50_buf2,300000000,0.05,2024,52,0.02484268547278945,0.06090648175431275,0.7925335596142001,11.732127698059367
2,tc50_buf2,300000000,0.1,2024,52,0.03994954841813447,0.07081123003294378,0.8926109258561052,5.826054423438977
2,tc50_buf2,300000000,0.2,2024,52,0.040622308926536954,0.07612360907889963,0.9355595423574703,3.3768000654159116
2,tc50_buf2,500000000,0.05,2024,52,0.013478111062804388,0.05546004075087995,0.6859021170494972,18.206277081759406
2,tc50_buf2,500000000,0.1,2024,52,0.024763299000627237,0.06945601492212466,0.8241734423796324,9.837608712431978
2,tc50_buf2,500000000,0.2,2024,52,0.03462470812662444,0.07981750203464236,0.9086526603317746,4.904138453065439
2,tc50_buf3,100000000,0.05,2024,52,0.0359275794416003,0.06390678800642312,0.9226653862251226,4.147371256177344
2,tc50_buf3,100000000,0.1,2024,52,0.03390924917882843,0.0658276817425173,0.9439664693099176,2.946270633516294
2,tc50_buf3,100000000,0.2,2024,52,0.033729661112471776,0.06626993431943756,0.9484542410266658,2.7013615146418952
2,tc50_buf3,300000000,0.05,2024,52,0.007293754139539921,0.061492319066526545,0.7899197592189509,12.10864066119516
2,tc50_buf3,300000000,0.1,2024,52,0.020824784495250492,0.07120844114453018,0.8907334556072466,6.014356978740404
2,tc50_buf3,300000000,0.2,2024,52,0.023437410483767573,0.07632135800101046,0.9350258690414461,3.4444963382728755
2,tc50_buf3,500000000,0.05,2024,52,-0.005528588023586911,0.05619908624133051,0.6841971525179722,18.608782664837886
2,tc50_buf3,500000000,0.1,2024,52,0.0054980130707340535,0.07005126502566099,0.82167156091651,10.163814336148707
2,tc50_buf3,500000000,0.2,2024,52,0.01604350896954143,0.08021536273494949,0.9071901930092322,5.047437526362387
2,tc50_buf4,100000000,0.05,2024,52,0.06228730102652369,0.06392569377403662,0.9212271447235192,4.2589549405146405
2,tc50_buf4,100000000,0.1,2024,52,0.05900243136799466,0.0658562304022991,0.9432576680524816,3.0125114165434344
2,tc50_buf4,100000000,0.2,2024,52,0.05883178363458841,0.06631779898949516,0.9477499396339095,2.767339623622669
2,tc50_buf4,300000000,0.05,2024,52,0.027206035981700794,0.061925758189779447,0.787449996382757,12.421602871148389
2,tc50_buf4,300000000,0.1,2024,52,0.04736110382258252,0.07132546136051057,0.8885906330775362,6.190452717454721
2,tc50_buf4,300000000,0.2,2024,52,0.04834107387455466,0.0763098929956844,0.9338812417255528,3.53528147489902
2,tc50_buf4,500000000,0.05,2024,52,0.0032313706506410522,0.0567679914655363,0.682088536874674,19.005796073830002
2,tc50_buf4,500000000,0.1,2024,52,0.026617039964401235,0.07048494381860287,0.8195433547880817,10.425838435663731
2,tc50_buf4,500000000,0.2,2024,52,0.04263730170662705,0.08025014974438535,0.9054048882581889,5.186261848656576
