scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l20_s3_b3_e1_n100_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=100, tc50_buf2",20,3,3,1,100,0.7023350835735425,0.22363296391735382,0.19124623305047717,0.7263733325262098,-0.2180114508900316,-0.22639871083778806,0.8755666795159461,0.91403537092725,0.03722018647074312,0.2313078597658221,0.3995402798887298
p_l40_s10_b2_e1_n120_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=120, tc50_buf2",40,10,2,1,120,0.6910562906593017,0.2049549797872079,0.17389194886476322,0.6151096094187815,-0.23590348048998278,-0.23898738287964028,0.9032321860708478,0.9318991069008626,0.034671363414822694,0.21462308852837444,0.38542922918441813
p_l10_s10_b3_e1_n80_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=80, tc50_buf2",10,10,3,1,80,0.66225635955504,0.23590656637305646,0.1996875001624403,0.7780001042216091,-0.24792752140682456,-0.2617497379926347,0.866438653306862,0.9005497921292266,0.0536666555343241,0.19933018182357296,0.4006448931005752
p_l20_s5_b3_e1_n80_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=80, tc50_buf2",20,5,3,1,80,0.6428958356149661,0.24091000266443585,0.1895737392925152,0.7855422930864662,-0.22896787641519495,-0.23624927132530504,0.8485283328432134,0.8929146467790015,0.04782021970332759,0.20594811270166083,0.3987447844674423
p_l40_s10_b3_e1_n100_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=100, tc50_buf2",40,10,3,1,100,0.6417565992558015,0.21626984775921282,0.17112752527525887,0.6565385457002281,-0.234920665272503,-0.2416138709284198,0.8859869529827817,0.918795223111077,0.041396906765144785,0.23433639500379563,0.3880271420627097
p_l10_s5_b2_e1_n120_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=120, tc50_buf2",10,5,2,1,120,0.6377591672100575,0.19524688740951238,0.17766501794887946,0.6215595295566031,-0.2606015957376,-0.27394372338053186,0.9022673190356559,0.9334564778420746,0.029216869910129523,0.23194517018533073,0.39795242903680467
p_l20_s10_b2_e1_n120_tc50_buf4,"L=20, S=10, bins=2, E=1, top_n=120, tc50_buf2",20,10,2,1,120,0.6364060171135778,0.18872037159136534,0.17080373582508845,0.5738754911059291,-0.2456209663315946,-0.25469961053947177,0.9009579099914171,0.9313362354032846,0.03181633123855186,0.18819402582527825,0.394293312865569
p_l40_s3_b2_e1_n100_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=100, tc50_buf2",40,3,2,1,100,0.6287794427913014,0.1988466034274976,0.17068321029234768,0.6295269968953051,-0.22679776506009583,-0.22984333650551447,0.8903332721896869,0.9208253937548017,0.040740865164747855,0.19822172157411644,0.396745199864148
p_l40_s5_b2_e1_n120_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=120, tc50_buf2",40,5,2,1,120,0.6243437293919892,0.1958194230848295,0.16872137728797099,0.6128449613150971,-0.26808066772816197,-0.27170556605356444,0.9054889068649167,0.9329468194871571,0.033373556145881285,0.20904884655317477,0.39461157303192995
p_l20_s3_b2_e1_n80_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=80, tc50_buf2",20,3,2,1,80,0.6241210120085572,0.2361587234286405,0.18804520928123636,0.7638216031086,-0.22308124759515188,-0.23346673681349905,0.8580704024139346,0.8978639917500948,0.050282024870810425,0.2616683923415431,0.4000313986163148
p_l40_s5_b3_e1_n80_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=80, tc50_buf2",40,5,3,1,80,0.6207310083677968,0.23794543189669173,0.1877821777905988,0.7698862105845219,-0.23167530841483114,-0.2378320038352365,0.859645966883321,0.896218728605717,0.05502821309772873,0.24124213176626635,0.3959099829970636
p_l10_s5_b3_e1_n120_tc50_buf4,"L=10, S=5, bins=3, E=1, top_n=120, tc50_buf2",10,5,3,1,120,0.61156754661454,0.18660429095260853,0.16930463857795752,0.5986583463973951,-0.24844576805652274,-0.2622766915667367,0.894667369939844,0.9303212187730296,0.027303967448992873,0.20056563911518704,0.3966496030371366
p_l20_s10_b3_e1_n100_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=100, tc50_buf2",20,10,3,1,100,0.6037949942930977,0.1948350960173185,0.16843813993325063,0.6095647362115943,-0.22162427995960524,-0.22872045862476342,0.8885822848380687,0.9204809577368374,0.03999659423275835,0.21999617471619995,0.39671498383943393
p_l10_s10_b2_e1_n100_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=100, tc50_buf2",10,10,2,1,100,0.5911292594639949,0.19490395299876018,0.1729989290342091,0.6248352077119692,-0.24431655622105847,-0.2555761067896031,0.8863002994304727,0.9181970042159404,0.04055741817014681,0.18914081309945927,0.40088368330902446
